시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,관서명,지방청명,경찰서명,구분명,데이터갱신일자,업태구분명,위도,경도
경기도,남양주시,오남읍,"41360262",생활편의형SOC,CVNTL,파출소,오남 파출소,CVNTL_20_41360_00068,,경기도 남양주시 오남읍 진건오남로 595-14,경기도 남양주시 오남읍 오남리 259-2,,경기북부청,남양주,파출소,2022-07-11,,37.6868800000,127.2103800000
경기도,시흥시,매화동,"41390108",생활편의형SOC,CVNTL,파출소,매화 파출소,CVNTL_20_41390_00136,,경기도 시흥시 매화로 36,경기도 시흥시 매화동 202-1,,경기남부청,시흥,파출소,2022-07-11,,37.4161800000,126.8146800000
경기도,동두천시,생연동,"41250103",생활편의형SOC,CVNTL,파출소,생연 파출소,CVNTL_20_41250_00076,,경기도 동두천시 생연로 99,경기도 동두천시 생연동 814-7,,경기북부청,동두천,파출소,2022-07-11,,37.9015350000,127.0503100000
경기도,수원시 팔달구,화서동,"41115138",생활편의형SOC,CVNTL,파출소,화서문 파출소,CVNTL_20_41115_00128,,경기도 수원시 팔달구 수성로182번길 3,경기도 수원시 팔달구 화서동 647-1,,경기남부청,수원중부,지구대,2022-07-11,,37.2867000000,126.9932100000
경기도,부천시,여월동,"41190118",생활편의형SOC,CVNTL,파출소,성곡 파출소,CVNTL_20_41190_00078,,경기도 부천시 삼작로352번길 42,경기도 부천시 여월동 8-36,,경기남부청,부천오정,파출소,2022-07-11,,37.5179980000,126.8006800000
경기도,시흥시,정왕동,"41390132",생활편의형SOC,CVNTL,파출소,시화 파출소,CVNTL_20_41390_00137,,경기도 시흥시 중심상가로 271,경기도 시흥시 정왕동 1785-4,,경기남부청,시흥,파출소,2022-07-11,,37.3401800000,126.7436700000
경기도,여주시,흥천면,"41670320",생활편의형SOC,CVNTL,파출소,흥천 파출소,CVNTL_20_41670_00207,,경기도 여주시 흥천면 효자로 144,경기도 여주시 흥천면 효지리 376-23,,경기남부청,여주,파출소,2022-07-11,,37.3327030000,127.5425200000
경기도,여주시,금사면,"41670330",생활편의형SOC,CVNTL,파출소,금사 파출소,CVNTL_20_41670_00208,,경기도 여주시 금사면 이포로 41,경기도 여주시 금사면 이포리 198,,경기남부청,여주,파출소,2022-07-11,,37.3931900000,127.5342400000
경기도,양평군,단월면,"41830360",생활편의형SOC,CVNTL,파출소,단월 파출소,CVNTL_20_41830_00203,,경기도 양평군 단월면 재인동길 2-4,경기도 양평군 단월면 보룡리 92-1,,경기남부청,양평,파출소,2022-07-11,,37.5330470000,127.6743240000
경기도,포천시,소흘읍,"41650250",생활편의형SOC,CVNTL,파출소,소흘 파출소,CVNTL_20_41650_00298,,경기도 포천시 소흘읍 태봉로 144,경기도 포천시 소흘읍 송우리 726-75,,경기북부청,포천,지구대,2022-07-11,,37.8305700000,127.1403600000
경기도,포천시,신읍동,"41650101",생활편의형SOC,CVNTL,파출소,포천 파출소,CVNTL_20_41650_00299,,경기도 포천시 원모루로1길 32,경기도 포천시 신읍동 106-22,,경기북부청,포천,파출소,2022-07-11,,37.8926300000,127.1962000000
경기도,하남시,창우동,"41450103",생활편의형SOC,CVNTL,파출소,창우 파출소,CVNTL_20_41450_00310,,경기도 하남시 대청로 114,경기도 하남시 창우동 520-3,,경기남부청,하남,파출소,2022-07-11,,37.5392300000,127.2247240000
경기도,안산시 상록구,팔곡일동,"41271110",생활편의형SOC,CVNTL,파출소,팔곡 파출소,CVNTL_20_41271_00163,,경기도 안산시 상록구 소학길 8,경기도 안산시 상록구 팔곡일동 681-1,,경기남부청,안산상록,파출소,2022-07-11,,37.2975120000,126.8875050000
경기도,부천시,삼정동,"41190123",생활편의형SOC,CVNTL,파출소,내동 파출소,CVNTL_20_41190_00079,,경기도 부천시 신흥로 411,경기도 부천시 삼정동 196,,경기남부청,부천오정,지구대,2022-07-11,,37.5204470000,126.7749000000
경기도,안산시 상록구,일동,"41271101",생활편의형SOC,CVNTL,파출소,일동 파출소,CVNTL_20_41271_00157,,경기도 안산시 상록구 호동로 118,경기도 안산시 상록구 일동 600-6,,경기남부청,안산상록,파출소,2022-07-11,,37.3126750000,126.8643800000
경기도,안산시 상록구,본오동,"41271104",생활편의형SOC,CVNTL,파출소,본오 파출소,CVNTL_20_41271_00158,,경기도 안산시 상록구 상록수로 12,경기도 안산시 상록구 본오동 877-3,,경기남부청,안산상록,지구대,2022-07-11,,37.3026430000,126.8612300000
경기도,성남시 분당구,구미동,"41135114",생활편의형SOC,CVNTL,파출소,구미 파출소,CVNTL_20_41135_00096,,경기도 성남시 분당구 구미로 107,경기도 성남시 분당구 구미동 223,,경기남부청,분당,파출소,2022-07-11,,37.3393750000,127.1206700000
경기도,고양시 덕양구,성사동,"41281106",생활편의형SOC,CVNTL,파출소,원당 파출소,CVNTL_20_41281_00007,,경기도 고양시 덕양구 호국로790번길 105,경기도 고양시 덕양구 성사동 408-5,,경기북부청,고양,지구대,2022-07-11,,37.6542550000,126.8416700000
