시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,충전소위치 상세,휴점일,이용가능 시작시각,이용가능 종료시각,완속충전 가능여부,급속충전 가능여부,급속충전 타입구분,완속충전기 대수,급속충전기 대수,주차료부과 여부,관리업체명,관리업체 전화번호,데이터 갱신일자,업태구분명,위도,경도
경기도,김포시,양촌읍,"41570256",생활편의형SOC,CVNTL,전기충전소,쉐보레김포서비스센터,CVNTL_25_41570_00347,,경기도 김포시 양촌읍 양곡로 358,경기도 김포시 양촌읍 양곡리 82-1,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.6653860000,126.6363900000
경기도,김포시,양촌읍,"41570256",생활편의형SOC,CVNTL,전기충전소,김포시 양촌독립운동기념관,CVNTL_25_41570_00349,,경기도 김포시 양촌읍 양곡2로30번길 46,경기도 김포시 양촌읍 양곡리 1331,,,,,,,,,,,지엔텔,,2022-07-11,,37.6531800000,126.6294200000
경기도,화성시,비봉면,"41590320",생활편의형SOC,CVNTL,전기충전소,비봉면사무소,CVNTL_25_41590_01773,,경기도 화성시 비봉면 비봉로71번길 1,경기도 화성시 비봉면 양노리 253-1,,,,,,,,,,,에버온,,2022-07-11,,37.2355700000,126.8737200000
경기도,화성시,매송면,"41590310",생활편의형SOC,CVNTL,전기충전소,매송휴게소(시흥방향),CVNTL_25_41590_01774,,경기도 화성시 매송면 서해안고속도로 316-1,경기도 화성시 매송면 야목리 625-1,,,,,,,,,,,환경부(한국자동차환경협회),,2022-07-11,,37.2653400000,126.8917800000
경기도,화성시,매송면,"41590310",생활편의형SOC,CVNTL,전기충전소,매송휴게소(목포방향),CVNTL_25_41590_01775,,경기도 화성시 매송면 서해안고속도로 315,경기도 화성시 매송면 야목리 산 47-1,,,,,,,,,,,환경부(한국자동차환경협회),,2022-07-11,,37.2647820000,126.8880500000
경기도,화성시,매송면,"41590310",생활편의형SOC,CVNTL,전기충전소,매송면사무소,CVNTL_25_41590_01776,,경기도 화성시 매송면 매송로 43,경기도 화성시 매송면 어천리 375-2,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.2523460000,126.9100200000
경기도,화성시,안녕동,"41590126",생활편의형SOC,CVNTL,전기충전소,세븐일레븐 화성태안안녕점,CVNTL_25_41590_01777,,경기도 화성시 만년로 925,경기도 화성시 안녕동 119-18,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.1931420000,127.0048600000
경기도,화성시,송산면,"41590340",생활편의형SOC,CVNTL,전기충전소,송산면사무소,CVNTL_25_41590_01779,,경기도 화성시 송산면 매봉산길 12,경기도 화성시 송산면 삼존리 203-5,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.2181000000,126.7390800000
경기도,화성시,송산면,"41590340",생활편의형SOC,CVNTL,전기충전소,송산포도휴게소(평택방향),CVNTL_25_41590_01780,,경기도 화성시 송산면 평택시흥고속도로 25,경기도 화성시 송산면 고정리 349-26,,,,,,,,,,,환경부(한국자동차환경협회),,2022-07-11,,37.2374200000,126.7570400000
경기도,화성시,양감면,"41590400",생활편의형SOC,CVNTL,전기충전소,양감면사무소,CVNTL_25_41590_01781,,경기도 화성시 양감면 초록로 7,경기도 화성시 양감면 신왕리 640-7,,,,,,,,,,,에버온,,2022-07-11,,37.0819550000,126.9455500000
경기도,화성시,양감면,"41590400",생활편의형SOC,CVNTL,전기충전소,화성시 양감면사무소,CVNTL_25_41590_01782,,경기도 화성시 양감면 초록로 7,경기도 화성시 양감면 신왕리 640-7,,,,,,,,,,,지엔텔,,2022-07-11,,37.0819550000,126.9455500000
경기도,화성시,양감면,"41590400",생활편의형SOC,CVNTL,전기충전소,경기도 종합사격장,CVNTL_25_41590_01783,,경기도 화성시 양감면 사격장길 142,경기도 화성시 양감면 사창리 810-2,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.0933760000,126.9574600000
경기도,화성시,양감면,"41590400",생활편의형SOC,CVNTL,전기충전소,GS25 화성양감점,CVNTL_25_41590_01784,,경기도 화성시 양감면 정문송산로 160-2,경기도 화성시 양감면 송산리 720,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.1062970000,126.9872360000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,성남시 이마트(분당점),CVNTL_25_41135_00610,,경기도 성남시 분당구 불정로 134,경기도 성남시 분당구 정자동 211,,,,,,,,,,,차지비,,2022-07-11,,37.3588070000,127.1198000000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,성남시 정자3동행정복지센터,CVNTL_25_41135_00609,,경기도 성남시 분당구 돌마로 242,경기도 성남시 분당구 정자동 201,,,,,,,,,,,차지비,,2022-07-11,,37.3607860000,127.1195450000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,성남 정든마을동아1단지,CVNTL_25_41135_00616,,경기도 성남시 분당구 불정로 141,경기도 성남시 분당구 정자동 200,,,,,,,,,,,이카플러그,,2022-07-11,,37.3601400000,127.1200400000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,분당구 미켈란쉐르빌,CVNTL_25_41135_00617,,경기도 성남시 분당구 정자일로 100,경기도 성남시 분당구 정자동 180,,,,,,,,,,,이카플러그,,2022-07-11,,37.3589000000,127.1068900000
