시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,데이터갱신일자,업태구분명,위도,경도
경기도,고양시 덕양구,행신동,"41281128",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(여성회관),CVNTL_19_41281_00005,,경기도 고양시 덕양구 용현로 48,경기도 고양시 덕양구 행신동 774,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2020-06-01,"1899-4711",2022-07-11,,37.6172600000,126.8362050000
경기도,고양시 덕양구,행신동,"41281128",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(행신역),CVNTL_19_41281_00006,,경기도 고양시 덕양구 행당로33번길 25-6,경기도 고양시 덕양구 행신동 634-87,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2021-05-01,"1899-4711",2022-07-11,,37.6213900000,126.8285140000
경기도,성남시 수정구,신흥동,"41131101",생활편의형SOC,CVNTL,무인택배함,신흥3동 행정복지센터,CVNTL_19_41131_00035,,경기도 성남시 수정구 공원로349번길 8,경기도 성남시 수정구 신흥동 2819,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령,대형/01+소형/03+초소형/04,"01/1+03/8+04/6","01/60+03/60+04/60","01/50+03/50+04/50","01/90+03/30+04/20",2014-06-01,"1577-1545",2022-07-11,,37.4434930000,127.1488100000
경기도,고양시 일산동구,식사동,"41285101",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(식사도서관),CVNTL_19_41285_00017,,경기도 고양시 일산동구 위시티2로 43-6,경기도 고양시 일산동구 식사동 1234-1,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2020-06-01,"1899-4711",2022-07-11,,37.6760830000,126.8159260000
경기도,수원시 장안구,정자동,"41111130",생활편의형SOC,CVNTL,무인택배함,정자1동 행정복지센터,CVNTL_19_41111_00056,,경기도 수원시 장안구 정자로130번길 20,경기도 수원시 장안구 정자동 840-96,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,1000,"1","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여,해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+중소형/03,"02/4+03/16","02/55+03/55","02/45+03/45","02/60+03/30",2017-01-01,"1899-4711",2022-07-11,,37.3021800000,126.9909000000
경기도,수원시 장안구,송죽동,"41111135",생활편의형SOC,CVNTL,무인택배함,송죽동 주민행복쉼터,CVNTL_19_41111_00057,,경기도 수원시 장안구 정조로1041번길 12-3,경기도 수원시 장안구 송죽동 378-7,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,1000,"1","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여,해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+중소형/03,"02/3+03/10","02/55+03/55","02/45+03/45","02/60+03/30",2019-10-01,"1899-4711",2022-07-11,,37.2985900000,127.0057200000
경기도,안산시 단원구,선부동,"41273109",생활편의형SOC,CVNTL,무인택배함,선부2동 행정복지센터,CVNTL_19_41273_00066,,경기도 안산시 단원구 지곡로 46,경기도 안산시 단원구 선부동 997-2,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,"01/1+02/12+03/1+04/6","01/60+02/60+03/60+04/60","01/50+02/50+03/50+04/50","01/90+02/30+03/60+04/20",2017-04-19,"1577-1545",2022-07-11,,37.3385240000,126.8027800000
경기도,안산시 단원구,선부동,"41273109",생활편의형SOC,CVNTL,무인택배함,선부석수경로당,CVNTL_19_41273_00067,,경기도 안산시 단원구 북촌2길 17,경기도 안산시 단원구 선부동 1025,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수취인 인증 후 물품 수령,대형/01+중형/02+소형/03+메인중형/04+메인중형/05,"01/3+02/3+03/15+04/1+05/2","01/60+02/60+03/55+03/55+04/55+05/55","01/50+02/50+03/40+04/40+05/40","01/90+02/30+03/18+04/18+05/30",2019-10-23,"1577-1545",2022-07-11,,37.3433380000,126.8050200000
경기도,안산시 단원구,원곡동,"41273108",생활편의형SOC,CVNTL,무인택배함,다문화안전경찰센터,CVNTL_19_41273_00068,,경기도 안산시 단원구 다문화2길 51,경기도 안산시 단원구 원곡동 796-11,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수취인 인증 후 물품 수령,대형/01+중형/02+소형/03+메인중형/04+메인중형/05,"01/3+02/3+03/15+04/1+05/2","01/60+02/60+03/55+03/55+04/55+05/55","01/50+02/50+03/40+04/40+05/40","01/90+02/30+03/18+04/18+05/30",2019-10-23,"1577-1545",2022-07-11,,37.3288150000,126.7900700000
경기도,안산시 단원구,원곡동,"41273108",생활편의형SOC,CVNTL,무인택배함,백운동행정복지센터,CVNTL_19_41273_00069,,경기도 안산시 단원구 원선로 31,경기도 안산시 단원구 원곡동 821-1,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,"01/1+02/12+03/1+04/6","01/60+02/60+03/60+04/60","01/50+02/50+03/50+04/50","01/90+02/30+03/60+04/20",2021-10-12,"1577-1545",2022-07-11,,37.3280830000,126.7970500000
